                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.95728,                0.58332,                 1.3038,                0.90018,                0.92632,                0.97342,                  0.635,                 1.3243,                0.64523,                 1.4769,             0.00026422,             0.00026422,             0.00026422
                     88,                0.95951,                0.57714,                  1.308,                0.90196,                0.91788,                0.97002,                0.63367,                 1.3322,                0.63746,                 1.4785,             0.00024772,             0.00024772,             0.00024772
                     89,                0.94866,                0.57303,                 1.2946,                 0.9497,                 0.9161,                0.97435,                0.62219,                 1.3622,                 0.6171,                 1.5091,             0.00023121,             0.00023121,             0.00023121
                     90,                 0.9389,                0.56569,                 1.3023,                0.96064,                0.90164,                0.97249,                0.62093,                 1.3739,                0.60776,                 1.5284,             0.00021471,             0.00021471,             0.00021471
                     91,                0.90804,                0.52345,                 1.2703,                0.90566,                0.92335,                0.96961,                0.63325,                 1.3182,                0.63331,                 1.4884,             0.00019821,             0.00019821,             0.00019821
                     92,                0.88282,                0.51328,                 1.2551,                0.89657,                0.96494,                0.98563,                0.64023,                 1.3194,                0.60096,                  1.504,              0.0001817,              0.0001817,              0.0001817
                     93,                 0.8839,                0.50331,                 1.2497,                0.92028,                 0.9242,                 0.9878,                0.64252,                  1.326,                0.61898,                 1.4873,              0.0001652,              0.0001652,              0.0001652
                     94,                0.87001,                0.48741,                 1.2406,                0.95555,                0.91579,                0.98663,                0.63731,                 1.3282,                0.59664,                 1.4942,              0.0001487,              0.0001487,              0.0001487
                     95,                0.86399,                0.47897,                 1.2347,                0.90167,                 0.9425,                0.98252,                0.63637,                 1.2965,                0.59714,                 1.4755,             0.00013219,             0.00013219,             0.00013219
                     96,                0.85722,                0.47626,                 1.2339,                0.90881,                0.95396,                0.98489,                0.63516,                 1.3356,                 0.5857,                 1.5145,             0.00011569,             0.00011569,             0.00011569
                     97,                 0.8573,                0.47107,                 1.2368,                0.91792,                0.91962,                0.97566,                0.62144,                 1.3718,                0.63018,                 1.5414,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.85613,                0.46892,                 1.2387,                0.94223,                0.91759,                0.97866,                0.63306,                 1.3314,                0.58949,                 1.5077,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.84505,                0.47506,                 1.2264,                0.92211,                0.95789,                 0.9801,                0.62654,                  1.338,                0.59097,                 1.5132,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.84807,                0.46906,                 1.2184,                0.90858,                0.95789,                 0.9824,                0.63236,                 1.3216,                0.58498,                 1.4961,             4.9677e-05,             4.9677e-05,             4.9677e-05
